dependent_variable,factor1,factor2
0,a300-699,gRNA
3,a100-299,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
5,a100-299,gRNA
0,2000+,gRNA
0,2000+,gRNA
0,a100-299,gRNA
1,2000+,gRNA
2,a700-1999,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
1,a100-299,gRNA
1,<100,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
2,<100,gRNA
1,a100-299,gRNA
0,<100,gRNA
1,<100,gRNA
1,a100-299,gRNA
2,<100,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
1,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
2,a700-1999,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
3,<100,gRNA
3,a300-699,gRNA
0,<100,gRNA
0,<100,gRNA
1,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
4,a300-699,gRNA
4,a700-1999,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
6,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
1,<100,gRNA
1,2000+,gRNA
1,a300-699,gRNA
9,a300-699,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
2,a700-1999,gRNA
0,a100-299,gRNA
3,a100-299,gRNA
0,a100-299,gRNA
0,2000+,gRNA
1,a300-699,gRNA
1,<100,gRNA
1,<100,gRNA
1,a300-699,gRNA
1,a100-299,gRNA
0,<100,gRNA
4,a700-1999,gRNA
3,a700-1999,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
2,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
2,2000+,gRNA
2,a100-299,gRNA
2,2000+,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,2000+,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,<100,gRNA
3,a700-1999,gRNA
0,2000+,gRNA
1,a300-699,gRNA
1,a300-699,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
3,a100-299,gRNA
1,a700-1999,gRNA
2,a700-1999,gRNA
0,a700-1999,gRNA
6,<100,gRNA
0,<100,gRNA
2,a700-1999,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
5,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
2,<100,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
2,a700-1999,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
3,a700-1999,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
2,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
2,<100,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
1,<100,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
0,2000+,gRNA
0,a300-699,gRNA
1,a100-299,gRNA
2,a700-1999,gRNA
0,2000+,gRNA
2,a100-299,gRNA
1,<100,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,2000+,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
4,<100,gRNA
1,a100-299,gRNA
1,a700-1999,gRNA
3,a300-699,gRNA
1,a100-299,gRNA
0,<100,gRNA
2,a300-699,gRNA
2,a100-299,gRNA
4,2000+,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
2,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,2000+,gRNA
0,a100-299,gRNA
3,a700-1999,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
6,a100-299,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
3,a700-1999,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
2,a700-1999,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
1,<100,gRNA
2,a300-699,gRNA
5,a300-699,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
5,a300-699,gRNA
0,a100-299,gRNA
1,<100,gRNA
0,a700-1999,gRNA
1,2000+,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
3,a300-699,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
3,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
1,<100,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
2,a100-299,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
4,a300-699,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
3,a100-299,gRNA
2,<100,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
2,<100,gRNA
2,<100,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a100-299,gRNA
7,<100,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
1,2000+,gRNA
1,<100,gRNA
3,2000+,gRNA
0,a300-699,gRNA
2,a100-299,gRNA
1,<100,gRNA
0,a300-699,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,2000+,gRNA
2,a700-1999,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
1,a300-699,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,<100,gRNA
4,a700-1999,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
2,a100-299,gRNA
1,a300-699,gRNA
0,<100,gRNA
2,<100,gRNA
1,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
2,<100,gRNA
1,<100,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
2,a300-699,gRNA
4,a100-299,gRNA
5,a300-699,gRNA
2,a300-699,gRNA
1,<100,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
2,a700-1999,gRNA
5,<100,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
3,<100,gRNA
0,a300-699,gRNA
4,<100,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
2,<100,gRNA
1,<100,gRNA
0,<100,gRNA
1,<100,gRNA
5,a300-699,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
3,a300-699,gRNA
0,a100-299,gRNA
2,<100,gRNA
0,a700-1999,gRNA
1,<100,gRNA
0,a700-1999,gRNA
1,<100,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
2,a700-1999,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
3,a700-1999,gRNA
0,<100,gRNA
1,a700-1999,gRNA
3,a700-1999,gRNA
1,a700-1999,gRNA
1,2000+,gRNA
1,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
4,<100,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,<100,gRNA
1,a300-699,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
3,a300-699,gRNA
1,a100-299,gRNA
1,<100,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a300-699,gRNA
4,a700-1999,gRNA
2,<100,gRNA
1,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
2,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
2,a700-1999,gRNA
1,a300-699,gRNA
3,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
9,<100,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
8,<100,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,<100,gRNA
1,a300-699,gRNA
2,a300-699,gRNA
0,a700-1999,gRNA
3,a100-299,gRNA
3,a100-299,gRNA
1,a700-1999,gRNA
3,<100,gRNA
1,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a100-299,gRNA
8,a300-699,gRNA
2,a300-699,gRNA
1,a300-699,gRNA
1,a100-299,gRNA
1,a700-1999,gRNA
4,a300-699,gRNA
0,a100-299,gRNA
1,2000+,gRNA
2,a700-1999,gRNA
0,2000+,gRNA
2,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
4,a300-699,gRNA
1,<100,gRNA
0,<100,gRNA
3,a100-299,gRNA
2,a100-299,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
3,<100,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
1,<100,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
3,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,a700-1999,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
3,<100,gRNA
1,a100-299,gRNA
3,a100-299,gRNA
2,a100-299,gRNA
5,a100-299,gRNA
1,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
4,<100,gRNA
1,<100,gRNA
1,<100,gRNA
1,a100-299,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
4,<100,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
5,2000+,gRNA
1,a700-1999,gRNA
1,<100,gRNA
1,a700-1999,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,2000+,gRNA
1,2000+,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
2,2000+,gRNA
1,a300-699,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,<100,gRNA
1,<100,gRNA
1,a300-699,gRNA
2,a100-299,gRNA
2,a300-699,gRNA
2,<100,gRNA
0,a700-1999,gRNA
5,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
5,a300-699,gRNA
0,a300-699,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
1,<100,gRNA
6,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
4,<100,gRNA
5,a100-299,gRNA
1,a100-299,gRNA
2,a300-699,gRNA
1,a700-1999,gRNA
1,<100,gRNA
2,a300-699,gRNA
2,2000+,gRNA
3,a300-699,gRNA
0,a700-1999,gRNA
2,<100,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,2000+,gRNA
1,a100-299,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
2,a700-1999,gRNA
0,a700-1999,gRNA
0,2000+,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
2,a300-699,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,<100,gRNA
3,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
4,a300-699,gRNA
3,a700-1999,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
3,a100-299,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
2,a100-299,gRNA
4,a100-299,gRNA
0,2000+,gRNA
4,a700-1999,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
2,a700-1999,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
1,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
1,<100,gRNA
4,<100,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a700-1999,gRNA
2,<100,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
3,a100-299,gRNA
1,a100-299,gRNA
0,<100,gRNA
4,<100,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
1,<100,gRNA
2,<100,gRNA
0,<100,gRNA
0,<100,gRNA
1,<100,gRNA
1,<100,gRNA
4,a700-1999,gRNA
1,<100,gRNA
4,a100-299,gRNA
0,a700-1999,gRNA
4,<100,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
2,a700-1999,gRNA
1,<100,gRNA
3,a300-699,gRNA
0,a700-1999,gRNA
2,<100,gRNA
0,a700-1999,gRNA
2,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,2000+,gRNA
1,2000+,gRNA
3,2000+,gRNA
0,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,a700-1999,gRNA
0,a100-299,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,<100,gRNA
3,2000+,gRNA
2,a300-699,gRNA
0,2000+,gRNA
0,2000+,gRNA
0,2000+,gRNA
2,2000+,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
4,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
2,a700-1999,gRNA
0,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
1,<100,gRNA
0,2000+,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,<100,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
4,a100-299,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
5,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
3,a300-699,gRNA
2,a100-299,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
2,<100,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
2,a300-699,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
3,<100,gRNA
0,a100-299,gRNA
1,<100,gRNA
1,a300-699,gRNA
5,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
3,a100-299,gRNA
0,2000+,gRNA
0,2000+,gRNA
1,<100,gRNA
2,a100-299,gRNA
2,a300-699,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
2,a300-699,gRNA
1,<100,gRNA
1,<100,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,2000+,gRNA
1,2000+,gRNA
3,a300-699,gRNA
2,<100,gRNA
0,a300-699,gRNA
5,a100-299,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
0,a300-699,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
1,<100,gRNA
1,a300-699,gRNA
1,2000+,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
2,<100,gRNA
0,a300-699,gRNA
2,<100,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
3,a300-699,gRNA
0,a100-299,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,<100,gRNA
1,a100-299,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
3,<100,gRNA
0,a300-699,gRNA
2,<100,gRNA
8,a700-1999,gRNA
0,a100-299,gRNA
8,a300-699,gRNA
0,a300-699,gRNA
8,a100-299,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
4,<100,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
2,<100,gRNA
0,a300-699,gRNA
0,<100,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
4,a100-299,gRNA
2,<100,gRNA
1,<100,gRNA
0,a700-1999,gRNA
2,<100,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,a700-1999,gRNA
2,a700-1999,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,a300-699,gRNA
0,<100,gRNA
2,<100,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
2,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
0,2000+,gRNA
1,<100,gRNA
4,a100-299,gRNA
2,a100-299,gRNA
0,a300-699,gRNA
3,a100-299,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a700-1999,gRNA
7,a700-1999,gRNA
3,a100-299,gRNA
1,<100,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
3,<100,gRNA
3,<100,gRNA
3,<100,gRNA
0,a100-299,gRNA
2,<100,gRNA
0,<100,gRNA
1,<100,gRNA
3,a100-299,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a700-1999,gRNA
1,<100,gRNA
0,<100,gRNA
2,<100,gRNA
5,<100,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,2000+,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
1,a100-299,gRNA
0,<100,gRNA
1,a300-699,gRNA
1,a100-299,gRNA
0,2000+,gRNA
0,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
2,a300-699,gRNA
0,a700-1999,gRNA
1,a100-299,gRNA
3,a300-699,gRNA
0,<100,gRNA
1,<100,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
3,a300-699,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
2,a100-299,gRNA
2,<100,gRNA
0,a700-1999,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
2,a300-699,gRNA
0,a700-1999,gRNA
2,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
2,a300-699,gRNA
2,a300-699,gRNA
0,<100,gRNA
2,a300-699,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
2,a100-299,gRNA
4,2000+,gRNA
0,a700-1999,gRNA
2,2000+,gRNA
0,<100,gRNA
1,2000+,gRNA
0,a100-299,gRNA
3,<100,gRNA
1,a100-299,gRNA
0,a100-299,gRNA
1,<100,gRNA
3,a300-699,gRNA
2,<100,gRNA
1,a100-299,gRNA
1,<100,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,<100,gRNA
1,a300-699,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
2,<100,gRNA
0,a100-299,gRNA
3,a100-299,gRNA
10,a100-299,gRNA
0,a100-299,gRNA
2,<100,gRNA
0,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
2,a300-699,gRNA
0,<100,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
1,a300-699,gRNA
0,a300-699,gRNA
1,a700-1999,gRNA
2,a300-699,gRNA
1,a300-699,gRNA
0,2000+,gRNA
3,a100-299,gRNA
0,a700-1999,gRNA
2,<100,gRNA
0,2000+,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a300-699,gRNA
0,a700-1999,gRNA
0,a300-699,gRNA
0,a100-299,gRNA
0,2000+,gRNA
0,2000+,gRNA
1,<100,gRNA
1,a100-299,gRNA
0,a700-1999,gRNA
0,2000+,gRNA
1,2000+,gRNA
0,2000+,gRNA
2,a100-299,gRNA
0,a700-1999,gRNA
0,2000+,gRNA
0,a300-699,gRNA
2,<100,gRNA
0,a300-699,gRNA
3,<100,gRNA
2,a100-299,gRNA
1,a100-299,gRNA
0,a300-699,gRNA
0,<100,gRNA
0,2000+,gRNA
4,a300-699,gRNA
1,<100,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
2,a100-299,gRNA
2,<100,gRNA
2,a300-699,gRNA
1,a300-699,gRNA
1,a300-699,gRNA
1,<100,gRNA
0,2000+,gRNA
4,a100-299,gRNA
0,a100-299,gRNA
0,a700-1999,gRNA
0,a100-299,gRNA
0,a100-299,gRNA
2,<100,gRNA
0,a100-299,gRNA
0,<100,gRNA
1,a100-299,gRNA
0,<100,gRNA
0,a700-1999,gRNA
1,a700-1999,gRNA
0,a300-699,gRNA
0,a300-699,gRNA
