"","diff","lwr","upr","p adj"
"2000+-<100",-0.359729082853779,-0.611556464981936,-0.107901700725622,0.000933134259585078
"a100-299-<100",-0.124036762872965,-0.279447127314684,0.0313736015687529,0.188195356754805
"a300-699-<100",-0.125935912875015,-0.293833056752979,0.0419612310029492,0.243849099225545
"a700-1999-<100",-0.10203729360713,-0.279383553519989,0.0753089663057296,0.516780122709104
"a100-299-2000+",0.235692319980814,-0.010268336235093,0.48165297619672,0.0678103747198354
"a300-699-2000+",0.233793169978764,-0.0202416976135202,0.487828037571048,0.0882302762893299
"a700-1999-2000+",0.257691789246649,-0.00268478215587009,0.518068360649168,0.0539860033811835
"a300-699-a100-299",-0.00189915000204943,-0.160861613933055,0.157063313928957,0.999999744051931
"a700-1999-a100-299",0.0219994692658355,-0.146912667425754,0.190911605957425,0.996589566603513
"a700-1999-a300-699",0.0238986192678849,-0.156568495376829,0.204365733912599,0.996362151447832
